TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-10 23:34:00,3326.18,3326.22,3323.96,3324.21,92,4,0
2025-06-10 23:35:00,3324.21,3324.26,3323.09,3323.44,100,5,0
2025-06-10 23:36:00,3323.45,3323.66,3322.88,3323.31,83,5,0
2025-06-10 23:37:00,3323.31,3323.68,3323.24,3323.32,46,5,0
2025-06-10 23:38:00,3323.32,3323.48,3322.91,3323.16,68,5,0
2025-06-10 23:39:00,3323.16,3323.47,3323.03,3323.05,29,5,0
2025-06-10 23:40:00,3323.05,3323.52,3322.8,3323.52,62,11,0
2025-06-10 23:41:00,3323.52,3323.52,3322.78,3323.02,57,50,0
2025-06-10 23:42:00,3323.02,3323.33,3322.83,3323.33,52,50,0
2025-06-10 23:43:00,3323.32,3323.32,3322.94,3323.25,37,50,0
2025-06-10 23:44:00,3323.25,3323.52,3323.13,3323.49,40,50,0
2025-06-10 23:45:00,3323.49,3323.69,3322.82,3323.49,71,11,0
2025-06-10 23:46:00,3323.49,3323.97,3322.86,3322.94,44,11,0
2025-06-10 23:47:00,3322.94,3323.51,3322.74,3323.1,48,11,0
2025-06-10 23:48:00,3323.1,3323.55,3323.1,3323.48,31,11,0
2025-06-10 23:49:00,3323.48,3323.58,3323.38,3323.4,19,11,0
2025-06-10 23:50:00,3323.4,3323.71,3323.27,3323.71,40,11,0
2025-06-10 23:51:00,3323.71,3323.71,3323.12,3323.12,18,11,0
2025-06-10 23:52:00,3323.12,3323.27,3322.54,3323.27,66,11,0
2025-06-10 23:53:00,3323.2,3323.52,3323.02,3323.08,37,11,0
2025-06-10 23:54:00,3323.08,3323.08,3322.76,3322.76,23,11,0
2025-06-10 23:55:00,3322.76,3323.37,3322.52,3322.98,59,11,0
2025-06-10 23:56:00,3322.98,3323.04,3322.58,3322.58,48,40,0
2025-06-10 23:57:00,3322.56,3322.74,3322.44,3322.54,46,40,0
2025-06-10 23:58:00,3322.48,3322.92,3322.4,3322.4,46,40,0
2025-06-11 01:00:00,3322.96,3322.96,3321.06,3321.17,89,9,0
2025-06-11 01:01:00,3321.22,3321.91,3320.87,3321.28,46,8,0
